,New cases reported,Total cases reported
"Sunday, Mar. 1, 2020",,1
"Monday, Mar. 2, 2020",,1
"Tuesday, Mar. 3, 2020",1,2
"Wednesday, Mar. 4, 2020",,2
"Thursday, Mar. 5, 2020",,2
"Friday, Mar. 6, 2020",1,3
"Saturday, Mar. 7, 2020",2,5
"Sunday, Mar. 8, 2020",,5
"Monday, Mar. 9, 2020",1,6
"Tuesday, Mar. 10, 2020",,6
"Wednesday, Mar. 11, 2020",2,8
"Thursday, Mar. 12, 2020",,8
"Friday, Mar. 13, 2020",2,10
"Saturday, Mar. 14, 2020",1,11
"Sunday, Mar. 15, 2020",1,12
"Monday, Mar. 16, 2020",5,17
"Tuesday, Mar. 17, 2020",3,20
"Wednesday, Mar. 18, 2020",7,27
"Thursday, Mar. 19, 2020",17,44
"Friday, Mar. 20, 2020",19,63
"Saturday, Mar. 21, 2020",41,104
"Sunday, Mar. 22, 2020",48,152
"Monday, Mar. 23, 2020",82,234
"Tuesday, Mar. 24, 2020",92,326
"Wednesday, Mar. 25, 2020",75,401
"Thursday, Mar. 26, 2020",107,508
"Friday, Mar. 27, 2020",157,665
"Saturday, Mar. 28, 2020",108,773
"Sunday, Mar. 29, 2020",146,919
"Monday, Mar. 30, 2020",238,1157
"Tuesday, Mar. 31, 2020",132,1289
"Wednesday, Apr. 1, 2020",124,1413
"Thursday, Apr. 2, 2020",185,1598
"Friday, Apr. 3, 2020",171,1769
"Saturday, Apr. 4, 2020",250,2019
"Sunday, Apr. 5, 2020",250,2269
"Monday, Apr. 6, 2020",187,2456
"Tuesday, Apr. 7, 2020",119,2575
"Wednesday, Apr. 8, 2020",151,2726
"Thursday, Apr. 9, 2020",292,3018
"Friday, Apr. 10, 2020",94,3112
"Saturday, Apr. 11, 2020",281,3393
"Sunday, Apr. 12, 2020",146,3539
"Monday, Apr. 13, 2020",163,3702
"Tuesday, Apr. 14, 2020",104,3806
"Wednesday, Apr. 15, 2020",156,3962
"Thursday, Apr. 16, 2020",272,4234
"Friday, Apr. 17, 2020",273,4507
"Saturday, Apr. 18, 2020",212,4719
"Sunday, Apr. 19, 2020",210,4929
"Monday, Apr. 20, 2020",135,5064
"Tuesday, Apr. 21, 2020",187,5251
"Wednesday, Apr. 22, 2020",208,5459
"Thursday, Apr. 23, 2020",310,5769
"Friday, Apr. 24, 2020",276,6045
"Saturday, Apr. 25, 2020",235,6280
"Sunday, Apr. 26, 2020",246,6526
"Monday, Apr. 27, 2020",190,6716
"Tuesday, Apr. 28, 2020",232,6948
"Wednesday, Apr. 29, 2020",254,7202
"Thursday, Apr. 30, 2020",446,7648
"Friday, May 1, 2020",314,7962
"Saturday, May 2, 2020",402,8364
"Sunday, May 3, 2020",276,8640
"Monday, May 4, 2020",279,8919
"Tuesday, May 5, 2020",386,9305
"Wednesday, May 6, 2020",402,9707
"Thursday, May 7, 2020",238,9945
"Friday, May 8, 2020",581,10526
"Saturday, May 9, 2020",434,10960
"Sunday, May 10, 2020",159,11119
"Monday, May 11, 2020",261,11380
"Tuesday, May 12, 2020",356,11736
"Wednesday, May 13, 2020",440,12176
"Thursday, May 14, 2020",498,12674
"Friday, May 15, 2020",495,13169
"Saturday, May 16, 2020",462,13631
"Sunday, May 17, 2020",306,13937
"Monday, May 18, 2020",233,14170
"Tuesday, May 19, 2020",396,14566
"Wednesday, May 20, 2020",331,14897
"Thursday, May 21, 2020",418,15315
"Friday, May 22, 2020",293,15608
"Saturday, May 23, 2020",431,16039
"Sunday, May 24, 2020",300,16339
"Monday, May 25, 2020",222,16561
"Tuesday, May 26, 2020",222,16783
"Wednesday, May 27, 2020",479,17262
"Thursday, May 28, 2020",501,17763
"Friday, May 29, 2020",702,18465
"Saturday, May 30, 2020",790,19255
"Sunday, May 31, 2020",681,19936
"Monday, June 1, 2020",187,20123
"Tuesday, June 2, 2020",1127,21250
"Wednesday, June 3, 2020",973,22223
"Thursday, June 4, 2020",530,22753
"Friday, June 5, 2020",1579,24332
"Saturday, June 6, 2020",1119,25451
"Sunday, June 7, 2020",1438,26889
"Monday, June 8, 2020",789,27678
"Tuesday, June 9, 2020",618,28296
"Wednesday, June 10, 2020",1556,29852
"Thursday, June 11, 2020",1412,31264
"Friday, June 12, 2020",1654,32918
"Saturday, June 13, 2020",1540,34458
"Sunday, June 14, 2020",1233,35691
"Monday, June 15, 2020",1014,36705
"Tuesday, June 16, 2020",2392,39097
"Wednesday, June 17, 2020",1827,40924
"Thursday, June 18, 2020",2519,43443
"Friday, June 19, 2020",3246,46689
"Saturday, June 20, 2020",3109,49798
"Sunday, June 21, 2020",2592,52390
"Monday, June 22, 2020",2196,54586
"Tuesday, June 23, 2020",3591,58179
"Wednesday, June 24, 2020",1795,59974
"Thursday, June 25, 2020",3056,63030
"Friday, June 26, 2020",3428,66458
"Saturday, June 27, 2020",3591,70051
"Sunday, June 28, 2020",3858,73908
"Monday, June 29, 2020",625,74533
"Tuesday, June 30, 2020",4682,79215
"Wednesday, July 1, 2020",4878,84092
"Thursday, July 2, 2020",3333,87425
"Friday, July 3, 2020",4433,91858
"Saturday, July 4, 2020",2695,94553
"Sunday, July 5, 2020",3536,98089
"Monday, July 6, 2020",3352,101441
"Tuesday, July 7, 2020",3653,105094
"Wednesday, July 8, 2020",3520,108614
"Thursday, July 9, 2020",4057,112671
"Friday, July 10, 2020",4221,116892
"Saturday, July 11, 2020",3038,119930
"Sunday, July 12, 2020",2537,122467
"Monday, July 13, 2020",1357,123824
"Tuesday, July 14, 2020",4237,128097
"Wednesday, July 15, 2020",3257,131354
"Thursday, July 16, 2020",3259,134613
"Friday, July 17, 2020",3910,138523
