date,state,positive
20200717,MA,112879
20200716,MA,112581
20200715,MA,112347
20200714,MA,112130
20200713,MA,111827
20200712,MA,111597
20200711,MA,111398
20200710,MA,111110
20200709,MA,110897
20200708,MA,110602
20200707,MA,110338
20200706,MA,110137
20200705,MA,109974
20200704,MA,109838
20200703,MA,109628
20200702,MA,109338
20200701,MA,109143
20200630,MA,108882
20200629,MA,108768
20200628,MA,108667
20200627,MA,108443
20200626,MA,108070
20200625,MA,107837
20200624,MA,107611
20200623,MA,107439
20200622,MA,107210
20200621,MA,107061
20200620,MA,106936
20200619,MA,106650
20200618,MA,106422
20200617,MA,106151
20200616,MA,105885
20200615,MA,105690
20200614,MA,105603
20200613,MA,105395
20200612,MA,105059
20200611,MA,104667
20200610,MA,104156
20200609,MA,103889
20200608,MA,103626
20200607,MA,103436
20200606,MA,103132
20200605,MA,102557
20200604,MA,102063
20200603,MA,101592
20200602,MA,101163
20200601,MA,100805
20200531,MA,96965
20200530,MA,96301
20200529,MA,95512
20200528,MA,94895
20200527,MA,94220
20200526,MA,93693
20200525,MA,93271
20200524,MA,92675
20200523,MA,91662
20200522,MA,90889
20200521,MA,90084
20200520,MA,88970
20200519,MA,87925
20200518,MA,87052
20200517,MA,86010
20200516,MA,84933
20200515,MA,83421
20200514,MA,82182
20200513,MA,80497
20200512,MA,79332
20200511,MA,78462
20200510,MA,77793
20200509,MA,76743
20200508,MA,75333
20200507,MA,73721
20200506,MA,72025
20200505,MA,70271
20200504,MA,69087
20200503,MA,68087
20200502,MA,66263
20200501,MA,64311
20200430,MA,62205
20200429,MA,60265
20200428,MA,58302
20200427,MA,56462
20200426,MA,54938
20200425,MA,53348
20200424,MA,50969
20200423,MA,47992
20200422,MA,44913
20200421,MA,43168
20200420,MA,41416
20200419,MA,39820
20200418,MA,37527
20200417,MA,35125
20200416,MA,32492
20200415,MA,29970
20200414,MA,28109
20200413,MA,26794
20200412,MA,25381
20200411,MA,22766
20200410,MA,20878
20200409,MA,18843
20200408,MA,16692
20200407,MA,15104
20200406,MA,13739
20200405,MA,12402
20200404,MA,11637
20200403,MA,10303
20200402,MA,8867
20200401,MA,7639
20200331,MA,6521
20200330,MA,5653
20200329,MA,4856
20200328,MA,4158
20200327,MA,3151
20200326,MA,2318
20200325,MA,1739
20200324,MA,1060
20200323,MA,678
20200322,MA,547
20200321,MA,426
20200320,MA,314
20200319,MA,229
20200318,MA,156
20200317,MA,118
20200316,MA,97
20200315,MA,64
20200314,MA,38
20200313,MA,23
20200312,MA,8
