date,state,positive
20200720,AZ,145183
20200719,AZ,143624
20200718,AZ,141265
20200717,AZ,138523
20200716,AZ,134613
20200715,AZ,131354
20200714,AZ,128097
20200713,AZ,123824
20200712,AZ,122467
20200711,AZ,119930
20200710,AZ,116892
20200709,AZ,112671
20200708,AZ,108614
20200707,AZ,105094
20200706,AZ,101441
20200705,AZ,98089
20200704,AZ,94553
20200703,AZ,91858
20200702,AZ,87425
20200701,AZ,84092
20200630,AZ,79215
20200629,AZ,74533
20200628,AZ,73908
20200627,AZ,70051
20200626,AZ,66548
20200625,AZ,63030
20200624,AZ,59974
20200623,AZ,58179
20200622,AZ,54586
20200621,AZ,52390
20200620,AZ,49798
20200619,AZ,46689
20200618,AZ,43443
20200617,AZ,40924
20200616,AZ,39097
20200615,AZ,36705
20200614,AZ,35691
20200613,AZ,34458
20200612,AZ,32918
20200611,AZ,31264
20200610,AZ,29852
20200609,AZ,28296
20200608,AZ,27678
20200607,AZ,26889
20200606,AZ,25451
20200605,AZ,24332
20200604,AZ,22753
20200603,AZ,22233
20200602,AZ,21250
20200601,AZ,20123
20200531,AZ,19936
20200530,AZ,19255
20200529,AZ,18465
20200528,AZ,17763
20200527,AZ,17262
20200526,AZ,16783
20200525,AZ,16561
20200524,AZ,16339
20200523,AZ,16039
20200522,AZ,15608
20200521,AZ,15315
20200520,AZ,14897
20200519,AZ,14566
20200518,AZ,14170
20200517,AZ,13937
20200516,AZ,13631
20200515,AZ,13169
20200514,AZ,12674
20200513,AZ,12176
20200512,AZ,11736
20200511,AZ,11380
20200510,AZ,11119
20200509,AZ,10960
20200508,AZ,10526
20200507,AZ,9945
20200506,AZ,9707
20200505,AZ,9305
20200504,AZ,8919
20200503,AZ,8640
20200502,AZ,8364
20200501,AZ,7962
20200430,AZ,7648
20200429,AZ,7202
20200428,AZ,6948
20200427,AZ,6716
20200426,AZ,6526
20200425,AZ,6280
20200424,AZ,6045
20200423,AZ,5769
20200422,AZ,5459
20200421,AZ,5251
20200420,AZ,5064
20200419,AZ,4929
20200418,AZ,4719
20200417,AZ,4507
20200416,AZ,4234
20200415,AZ,3962
20200414,AZ,3806
20200413,AZ,3702
20200412,AZ,3539
20200411,AZ,3393
20200410,AZ,3112
20200409,AZ,3018
20200408,AZ,2726
20200407,AZ,2575
20200406,AZ,2456
20200405,AZ,2269
20200404,AZ,2019
20200403,AZ,1769
20200402,AZ,1598
20200401,AZ,1413
20200331,AZ,1289
20200330,AZ,1157
20200329,AZ,919
20200328,AZ,873
20200327,AZ,736
20200326,AZ,577
20200325,AZ,450
20200324,AZ,357
20200323,AZ,265
20200322,AZ,152
20200321,AZ,104
20200320,AZ,65
20200319,AZ,44
20200318,AZ,28
20200317,AZ,20
20200316,AZ,18
20200315,AZ,12
20200314,AZ,12
20200313,AZ,9
20200312,AZ,9
20200311,AZ,9
20200310,AZ,6
20200309,AZ,5
20200308,AZ,5
20200307,AZ,5
20200306,AZ,3
20200305,AZ,2
20200304,AZ,2
