date,state,positive
20200717,CA,366164
20200716,CA,356178
20200715,CA,347634
20200714,CA,336508
20200713,CA,329162
20200712,CA,320804
20200711,CA,312344
20200710,CA,304297
20200709,CA,296499
20200708,CA,289468
20200707,CA,277774
20200706,CA,271684
20200705,CA,265985
20200704,CA,257388
20200703,CA,248235
20200702,CA,242547
20200701,CA,236139
20200630,CA,228732
20200629,CA,219252
20200628,CA,211243
20200627,CA,206433
20200626,CA,200461
20200625,CA,195571
20200624,CA,190222
20200623,CA,183073
20200622,CA,178054
20200621,CA,173824
20200620,CA,169309
20200619,CA,165416
20200618,CA,161099
20200617,CA,157015
20200616,CA,153560
20200615,CA,151452
20200614,CA,148855
20200613,CA,145643
20200612,CA,141983
20200611,CA,139281
20200610,CA,136191
20200609,CA,133489
20200608,CA,131319
20200607,CA,128812
20200606,CA,126016
20200605,CA,122901
20200604,CA,119807
20200603,CA,117687
20200602,CA,115310
20200601,CA,113006
20200531,CA,110583
20200530,CA,106878
20200529,CA,103886
20200528,CA,101697
20200527,CA,98980
20200526,CA,96733
20200525,CA,94558
20200524,CA,92710
20200523,CA,90631
20200522,CA,88444
20200521,CA,86197
20200520,CA,84057
20200519,CA,81795
20200518,CA,80430
20200517,CA,78839
20200516,CA,76793
20200515,CA,74936
20200514,CA,73164
20200513,CA,71141
20200512,CA,69382
20200511,CA,67939
20200510,CA,66680
20200509,CA,64561
20200508,CA,62512
20200507,CA,60614
20200506,CA,58815
20200505,CA,56212
20200504,CA,54937
20200503,CA,53616
20200502,CA,52197
20200501,CA,50442
20200430,CA,48917
20200429,CA,46500
20200428,CA,45031
20200427,CA,43464
20200426,CA,42164
20200425,CA,41137
20200424,CA,39254
20200423,CA,37369
20200422,CA,35396
20200421,CA,33261
20200420,CA,30978
20200419,CA,30333
20200418,CA,28963
20200417,CA,27528
20200416,CA,26182
20200415,CA,24424
20200414,CA,23338
20200413,CA,22348
20200412,CA,21794
20200411,CA,20615
20200410,CA,19472
20200409,CA,18309
20200408,CA,16957
20200407,CA,15865
20200406,CA,14336
20200405,CA,13438
20200404,CA,12026
20200403,CA,10701
20200402,CA,9191
20200401,CA,8155
20200331,CA,7482
20200330,CA,6447
20200329,CA,5708
20200328,CA,4643
20200327,CA,3879
20200326,CA,3006
20200325,CA,2355
20200324,CA,2102
20200323,CA,1733
20200322,CA,1536
20200321,CA,1279
20200320,CA,1063
20200319,CA,924
20200318,CA,611
20200317,CA,483
20200316,CA,335
20200315,CA,293
20200314,CA,252
20200313,CA,202
20200312,CA,202
20200311,CA,157
20200310,CA,133
20200309,CA,114
20200308,CA,88
20200307,CA,69
20200306,CA,60
20200305,CA,53
20200304,CA,53
