date,state,positive
20200720,NJ,176963
20200719,NJ,176783
20200718,NJ,176814
20200717,NJ,176551
20200716,NJ,176501
20200715,NJ,176278
20200714,NJ,175915
20200713,NJ,175522
20200712,NJ,175298
20200711,NJ,174959
20200710,NJ,174628
20200709,NJ,174240
20200708,NJ,174039
20200707,NJ,173878
20200706,NJ,173611
20200705,NJ,173402
20200704,NJ,173033
20200703,NJ,172742
20200702,NJ,172356
20200701,NJ,171928
20200630,NJ,171667
20200629,NJ,171272
20200628,NJ,171182
20200627,NJ,170873
20200626,NJ,170584
20200625,NJ,170196
20200624,NJ,169892
20200623,NJ,169734
20200622,NJ,169415
20200621,NJ,169142
20200620,NJ,168834
20200619,NJ,168496
20200618,NJ,168107
20200617,NJ,167703
20200616,NJ,167426
20200615,NJ,167103
20200614,NJ,166881
20200613,NJ,166605
20200612,NJ,166164
20200611,NJ,165816
20200610,NJ,165346
20200609,NJ,164796
20200608,NJ,164497
20200607,NJ,164164
20200606,NJ,163893
20200605,NJ,163336
20200604,NJ,162530
20200603,NJ,162068
20200602,NJ,161545
20200601,NJ,160918
20200531,NJ,160445
20200530,NJ,159608
20200529,NJ,158844
20200528,NJ,157815
20200527,NJ,156628
20200526,NJ,155764
20200525,NJ,155092
20200524,NJ,154154
20200523,NJ,153104
20200522,NJ,152719
20200521,NJ,151472
20200520,NJ,150399
20200519,NJ,149013
20200518,NJ,148039
20200517,NJ,146334
20200516,NJ,145089
20200515,NJ,143905
20200514,NJ,142704
20200513,NJ,141560
20200512,NJ,140743
20200511,NJ,139945
20200510,NJ,138532
20200509,NJ,137085
20200508,NJ,135454
20200507,NJ,133635
20200506,NJ,131890
20200505,NJ,130593
20200504,NJ,128269
20200503,NJ,126744
20200502,NJ,123717
20200501,NJ,121190
20200430,NJ,118652
20200429,NJ,116264
20200428,NJ,113856
20200427,NJ,111188
20200426,NJ,109038
20200425,NJ,105523
20200424,NJ,102196
20200423,NJ,99989
20200422,NJ,95865
20200421,NJ,92387
20200420,NJ,88806
20200419,NJ,85301
20200418,NJ,81420
20200417,NJ,78467
20200416,NJ,75317
20200415,NJ,71030
20200414,NJ,68824
20200413,NJ,64584
20200412,NJ,61850
20200411,NJ,58151
20200410,NJ,54588
20200409,NJ,51027
20200408,NJ,47437
20200407,NJ,44416
20200406,NJ,41090
20200405,NJ,37505
20200404,NJ,34124
20200403,NJ,29895
20200402,NJ,25590
20200401,NJ,22255
20200331,NJ,18696
20200330,NJ,16636
20200329,NJ,13386
20200328,NJ,11124
20200327,NJ,8825
20200326,NJ,6876
20200325,NJ,4402
20200324,NJ,3675
20200323,NJ,2844
20200322,NJ,1914
20200321,NJ,1327
20200320,NJ,890
20200319,NJ,742
20200318,NJ,427
20200317,NJ,267
20200316,NJ,178
20200315,NJ,98
20200314,NJ,50
20200313,NJ,50
20200312,NJ,30
20200311,NJ,24
20200310,NJ,15
20200309,NJ,11
20200308,NJ,6
20200307,NJ,4
20200306,NJ,1
20200305,NJ,1
