date,state,positive
20200720,NY,407326
20200719,NY,406807
20200718,NY,406305
20200717,NY,405551
20200716,NY,404775
20200715,NY,404006
20200714,NY,403175
20200713,NY,402263
20200712,NY,401706
20200711,NY,401029
20200710,NY,400299
20200709,NY,399513
20200708,NY,398929
20200707,NY,398237
20200706,NY,397649
20200705,NY,397131
20200704,NY,396598
20200703,NY,395872
20200702,NY,394954
20200701,NY,394079
20200630,NY,393454
20200629,NY,392930
20200628,NY,392539
20200627,NY,391923
20200626,NY,391220
20200625,NY,390415
20200624,NY,389666
20200623,NY,389085
20200622,NY,388488
20200621,NY,387936
20200620,NY,387272
20200619,NY,386556
20200618,NY,385760
20200617,NY,385142
20200616,NY,384575
20200615,NY,383944
20200614,NY,383324
20200613,NY,382630
20200612,NY,381714
20200611,NY,380892
20200610,NY,380156
20200609,NY,379482
20200608,NY,378799
20200607,NY,378097
20200606,NY,377316
20200605,NY,376208
20200604,NY,375133
20200603,NY,374085
20200602,NY,373040
20200601,NY,371711
20200531,NY,370770
20200530,NY,369660
20200529,NY,368284
20200528,NY,366733
20200527,NY,364965
20200526,NY,363836
20200525,NY,362764
20200524,NY,361515
20200523,NY,359926
20200522,NY,358154
20200521,NY,356458
20200520,NY,354370
20200519,NY,352845
20200518,NY,351371
20200517,NY,350121
20200516,NY,348232
20200515,NY,345813
20200514,NY,343051
20200513,NY,340661
20200512,NY,338485
20200511,NY,337055
20200510,NY,335395
20200509,NY,333122
20200508,NY,330407
20200507,NY,327649
20200506,NY,323978
20200505,NY,321192
20200504,NY,318953
20200503,NY,316415
20200502,NY,312977
20200501,NY,308314
20200430,NY,304372
20200429,NY,299691
20200428,NY,295106
20200427,NY,291996
20200426,NY,288045
20200425,NY,282143
20200424,NY,271590
20200423,NY,263460
20200422,NY,257216
20200421,NY,251690
20200420,NY,247512
20200419,NY,242786
20200418,NY,236732
20200417,NY,229642
20200416,NY,222284
20200415,NY,213779
20200414,NY,202208
20200413,NY,195031
20200412,NY,188694
20200411,NY,180458
20200410,NY,170512
20200409,NY,159937
20200408,NY,149316
20200407,NY,138863
20200406,NY,130689
20200405,NY,122031
20200404,NY,113704
20200403,NY,102863
20200402,NY,92381
20200401,NY,83712
20200331,NY,75795
20200330,NY,66497
20200329,NY,59513
20200328,NY,52318
20200327,NY,44635
20200326,NY,37258
20200325,NY,30811
20200324,NY,25665
20200323,NY,20875
20200322,NY,15168
20200321,NY,10356
20200320,NY,7102
20200319,NY,4152
20200318,NY,2382
20200317,NY,1700
20200316,NY,950
20200315,NY,729
20200314,NY,524
20200313,NY,421
20200312,NY,216
20200311,NY,216
20200310,NY,173
20200309,NY,142
20200308,NY,105
20200307,NY,76
20200306,NY,33
20200305,NY,22
20200304,NY,6
