date,state,positive
20200717,TX,307572
20200716,TX,292656
20200715,TX,282365
20200714,TX,275058
20200713,TX,264313
20200712,TX,258658
20200711,TX,250462
20200710,TX,240111
20200709,TX,230346
20200708,TX,220564
20200707,TX,210585
20200706,TX,200557
20200705,TX,195239
20200704,TX,191790
20200703,TX,183532
20200702,TX,175977
20200701,TX,168062
20200630,TX,159986
20200629,TX,153011
20200628,TX,148728
20200627,TX,143371
20200626,TX,137624
20200625,TX,131917
20200624,TX,125921
20200623,TX,120370
20200622,TX,114881
20200621,TX,111601
20200620,TX,107735
20200619,TX,103305
20200618,TX,99851
20200617,TX,96335
20200616,TX,93206
20200615,TX,89108
20200614,TX,87854
20200613,TX,86011
20200612,TX,83680
20200611,TX,81583
20200610,TX,79757
20200609,TX,77253
20200608,TX,75616
20200607,TX,74978
20200606,TX,73553
20200605,TX,71613
20200604,TX,69920
20200603,TX,68271
20200602,TX,66568
20200601,TX,64880
20200531,TX,64287
20200530,TX,62338
20200529,TX,61006
20200528,TX,59776
20200527,TX,57921
20200526,TX,56560
20200525,TX,55971
20200524,TX,55348
20200523,TX,54509
20200522,TX,53449
20200521,TX,52268
20200520,TX,51323
20200519,TX,49912
20200518,TX,48693
20200517,TX,47784
20200516,TX,46999
20200515,TX,45198
20200514,TX,43851
20200513,TX,42403
20200512,TX,41048
20200511,TX,39869
20200510,TX,38869
20200509,TX,37860
20200508,TX,36609
20200507,TX,35390
20200506,TX,34422
20200505,TX,33369
20200504,TX,32332
20200503,TX,31548
20200502,TX,30522
20200501,TX,29229
20200430,TX,28087
20200429,TX,27054
20200428,TX,26171
20200427,TX,25297
20200426,TX,24631
20200425,TX,23773
20200424,TX,22806
20200423,TX,21944
20200422,TX,21069
20200421,TX,20196
20200420,TX,19458
20200419,TX,18923
20200418,TX,18260
20200417,TX,17371
20200416,TX,16455
20200415,TX,15492
20200414,TX,14624
20200413,TX,13906
20200412,TX,13484
20200411,TX,12561
20200410,TX,11671
20200409,TX,10230
20200408,TX,9353
20200407,TX,8262
20200406,TX,7276
20200405,TX,6812
20200404,TX,6110
20200403,TX,5330
20200402,TX,4669
20200401,TX,3997
20200331,TX,3266
20200330,TX,2877
20200329,TX,2552
20200328,TX,2052
20200327,TX,1731
20200326,TX,1396
20200325,TX,974
20200324,TX,410
20200323,TX,352
20200322,TX,334
20200321,TX,304
20200320,TX,194
20200319,TX,143
20200318,TX,83
20200317,TX,64
20200316,TX,57
20200315,TX,56
20200314,TX,51
20200313,TX,39
20200312,TX,23
20200311,TX,21
20200310,TX,13
20200309,TX,12
20200308,TX,8
20200307,TX,8
20200306,TX,5
20200305,TX,1
20200304,TX,1
